Area_of_Origin;Business_Impact;Civilian_Casualties;Count_of_Persons_Rescued;Estimated_Dollar_Loss;Estimated_Number_Of_Persons_Displaced;Ext_agent_app_or_defer_time;Extent_Of_Fire;Fire_Alarm_System_Impact_on_Evacuation;Fire_Alarm_System_Operation;Fire_Alarm_System_Presence;Fire_Under_Control_Time;Ignition_Source;Incident_Station_Area;Incident_Ward;Last_TFS_Unit_Clear_Time;Latitude;Longitude;Material_First_Ignited;Method_Of_Fire_Control;Possible_Cause;Property_Use;Smoke_Alarm_at_Fire_Origin_Alarm_Failure;Smoke_Alarm_at_Fire_Origin_Alarm_Type;Status_of_Fire_On_Arrival;TFS_Alarm_Time;TFS_Arrival_Time
Washroom or Bathroom (toilet,restroom/locker room);Not applicable (not a business);1;2;1000;1;2012-04-08T22:47:36;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-04-08T22:50:34;Candle;131;16;2012-04-08T23:33:53;43,72346;-79,40184;Floor;Extinguished by occupant;Other unintentional cause, not classified;Multi-Unit Dwelling - Over 12 Units;Dead battery;Battery operated;Fire extinguished prior to arrival;2012-04-08T22:44:06;2012-04-08T22:46:36
Cooking Area or Kitchen;Not applicable (not a business);0;1;200;0;2018-02-20T23:20:20;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-02-20T23:20:20;Stove, Range-top burner;312;11;2018-02-21T02:53:16;43,67555272;-79,39694142;Plastic;Extinguished by occupant;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire extinguished prior to arrival;2018-02-20T23:07:19;2018-02-20T23:11:31
Living Area (e.g. living, TV, recreation, etc);No business interruption;1;1;40000;0;2018-04-17T02:22:47;Spread beyond room of origin, same floor;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-17T02:34:25;Circuit Wiring - Copper;411;7;2018-04-17T16:34:13;43,74823355;-79,54160883;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2018-04-17T02:12:28;2018-04-17T02:16:47
Laundry Area;Not applicable (not a business);1;1;300000;4;2018-04-14T01:03:45;Spread to other floors, confined to building;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);No Fire alarm system;2018-04-14T02:12:22;Other Appliances;244;22;2018-04-14T17:27:02;43,77594207;-79,29492069;Other Soft Goods, Wearing Apparel;Extinguished by fire department;Electrical Failure;Detached Dwelling;Reason for inoperation undetermined;Type undetermined;Fully involved (total structure, vehicle, spreading outdoor fire);2018-04-14T00:55:15;2018-04-14T01:01:19
Cooking Area or Kitchen;Not applicable (not a business);1;1;40000;1;2018-04-28T08:54:00;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-28T08:54:20;Stove, Range-top burner;311;12;2018-04-28T10:17:12;43,69597341;-79,39992355;Multiple Objects or Materials;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Other reason;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2018-04-28T08:39:20;2018-04-28T08:44:16
Cooking Area or Kitchen;No business interruption;1;1;50000;2;2018-10-01T18:18:00;Confined to part of room/area of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2018-10-01T18:24:09;Stove, Range-top burner;421;5;2018-10-01T19:38:48;43,68948939;-79,50506282;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2018-10-01T18:09:17;2018-10-01T18:14:41
Undetermined  (formerly 98);No business interruption;0;1;1250000;0;2018-10-31T03:30:20;Entire Structure;Undetermined;Fire alarm system operation undetermined;Undetermined;2018-10-31T05:34:00;Undetermined;434;3;2018-10-31T19:32:53;43,60756719;-79,54037158;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fully involved (total structure, vehicle, spreading outdoor fire);2018-10-31T03:20:04;2018-10-31T03:26:02
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);2;1;15000;1;2018-12-10T15:11:26;Confined to part of room/area of origin;Undetermined;Fire alarm system operation undetermined;Undetermined;2018-12-10T15:13:09;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;314;13;2018-12-10T20:27:06;43,66572255;-79,38095933;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Improperly Discarded;Apartment, Flat, Tenement with Business;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2018-12-10T15:01:21;2018-12-10T15:05:05
Other Outside Area;No business interruption;0;1;100;0;2019-01-21T16:29:00;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);No Fire alarm system;2019-01-21T16:30:00;Undetermined;433;3;2019-01-21T17:33:21;43,61617394;-79,4983675;Wearing Apparel on a Person;Fire self extinguished;Suspected Arson;Railway Station;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire extinguished prior to arrival;2019-01-21T16:04:30;2019-01-21T16:08:51
Lobby, Entranceway;Not applicable (not a business);1;1;25000;0;2019-02-04T15:53:22;Confined to part of room/area of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2019-02-04T15:55:00;Undetermined;223;20;2019-02-04T23:37:27;43,73998098;-79,22792794;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2019-02-04T15:43:37;2019-02-04T15:48:19
Living Area (e.g. living, TV, recreation, etc);No business interruption;1;1;7500;3;2019-02-17T14:03:02;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-02-17T14:12:03;Extension Cord, Temporary Wiring;314;13;2019-02-17T15:35:46;43,65922466;-79,38145787;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2019-02-17T13:55:34;2019-02-17T13:57:25
Porch or Balcony;Not applicable (not a business);3;1;125000;0;2019-03-08T22:17:03;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-03-08T22:18:00;Undetermined;441;2;2019-03-08T23:46:39;43,67893915;-79,56173303;Other Furniture;Extinguished by fire department;Unintentional, cause undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2019-03-08T22:03:30;2019-03-08T22:08:16
Porch or Balcony;No business interruption;1;1;15000;2;2019-06-16T11:42:23;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-06-16T11:42:23;Undetermined;441;1;2019-06-16T12:25:32;43,69873062;-79,55223189;Paper, Cardboard;Extinguished by fire department;Unintentional, cause undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2019-06-16T11:32:38;2019-06-16T11:37:12
Other - unclassified;May resume operations within a week;1;1;20000;0;2019-06-29T11:04:29;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2019-06-29T11:08:00;Other Electrical;411;7;2019-06-29T16:04:16;43,759999;-79,55805779;Cleaning Supplies;Extinguished by automatic system;Other unintentional cause, not classified;Motor Vehicle Repair Garage;Remote from fire – smoke did not reach alarm;Hardwired (standalone);Fire extinguished prior to arrival;2019-06-29T10:59:25;2019-06-29T11:03:06
Cooking Area or Kitchen;No business interruption;0;1;5000;1;2019-05-11T04:44:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-05-11T04:48:21;Stove, Range-top burner;134;15;2019-05-11T05:48:11;43,71260605;-79,39177927;Wood;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2019-05-11T04:19:37;2019-05-11T04:25:02
Cooking Area or Kitchen;No business interruption;0;1;15000;2;2019-05-18T06:36:27;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-05-18T06:48:19;Stove, Range-top burner;134;8;2019-05-18T07:53:02;43,70916917;-79,40106165;Cabinetry;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2019-05-18T06:25:18;2019-05-18T06:29:44
Cooking Area or Kitchen;Not applicable (not a business);1;1;50000;2;2019-04-28T18:23:47;Spread to entire room of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2019-04-28T18:24:12;Stove, Range-top burner;423;4;2019-04-28T23:39:51;43,65848975;-79,47381142;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - 2 to 6 Units;No battery;Battery operated;Fire with no evidence from street;2019-04-28T18:15:31;2019-04-28T18:19:40
Mechanical/Electrical Services Room;No business interruption;1;1;15000;0;2019-04-08T18:22:06;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-04-08T18:22:36;Other Electrical Distribution Item;314;13;2019-04-08T18:53:19;43,65432196;-79,37876958;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Gifts, jewellery, leather goods, mixed goods;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2019-04-08T18:04:24;2019-04-08T18:09:11
Cooking Area or Kitchen;Not applicable (not a business);1;1;75000;6;2019-02-18T12:40:00;Spread to entire room of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2019-02-18T12:47:17;Stove, Range-top burner;226;19;2019-02-18T21:24:33;43,68244107;-79,30892092;Cooking Oil, Grease;Extinguished by fire department;Unattended;Attached Dwelling (eg. rowhouse, townhouse, etc.);Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Flames showing from small area (one storey or less, part of a vehicle, outdoor);2019-02-18T12:28:41;2019-02-18T12:33:39
Cooking Area or Kitchen;Not applicable (not a business);1;1;60000;1;2018-12-17T02:29:30;Spread beyond room of origin, same floor;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-12-17T02:45:04;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;341;9;2018-12-17T04:48:57;43,69443699;-79,45589435;Fabric - Natural (eg. cotton, wool, etc.);Extinguished by fire department;Improperly Discarded;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2018-12-17T02:15:05;2018-12-17T02:20:09
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);1;1;5000;0;2018-11-22T07:27:26;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-11-22T07:31:23;Blow Torch, Bunsen Burner;426;9;2018-11-22T15:07:17;43,65520301;-79,44634474;Mattress, Pillow;Extinguished by automatic system;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire extinguished prior to arrival;2018-11-22T07:22:45;2018-11-22T07:27:25
Living Area (e.g. living, TV, recreation, etc);No business interruption;1;1;1000;1;2018-11-25T07:49:02;Confined to part of room/area of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-11-25T07:56:51;Undetermined;226;19;2018-11-25T08:48:59;43,68767537;-79,30159899;Paper, Cardboard;Extinguished by fire department;Suspected Arson;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Unclassified;2018-11-25T07:33:45;2018-11-25T07:38:06
Cooking Area or Kitchen;No business interruption;1;1;15000;1;2018-12-01T02:20:32;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-12-01T02:22:34;Stove, Range-top burner;345;9;2018-12-01T05:59:51;43,65705388;-79,44893428;Other;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-12-01T02:10:55;2018-12-01T02:15:40
Cooking Area or Kitchen;Not applicable (not a business);1;1;1200;0;2018-12-02T05:05:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-12-02T05:05:00;Stove, Range-top burner;426;4;2018-12-02T08:54:00;43,64102596;-79,43451699;Cooking Oil, Grease;Extinguished by occupant;Under Investigation;Retirement Home;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2018-12-02T05:00:58;2018-12-02T05:04:47
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Undetermined;1;1;100000;0;2018-10-29T02:35:00;Confined to part of room/area of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2018-10-29T02:40:40;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;114;18;2018-10-29T17:51:44;43,77658516;-79,41475432;Fabric - Natural (eg. cotton, wool, etc.);Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - 7 to 12 Units;Reason for inoperation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-10-29T02:00:46;2018-10-29T02:06:29
Cooking Area or Kitchen;Not applicable (not a business);1;1;300;1;2018-12-10T20:37:50;Confined to object of origin;Fire Alarm system operated but failed to alert occupant(s);Fire alarm system operated;Fire alarm system present;2018-12-10T20:38:00;Stove, Range-top burner;426;4;2018-12-10T21:24:42;43,63589864;-79,43831669;Cooking Oil, Grease;Extinguished by occupant;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire extinguished prior to arrival;2018-12-10T20:31:00;2018-12-10T20:34:51
Cooking Area or Kitchen;No business interruption;0;1;400;1;2018-09-20T21:43:12;Confined to part of room/area of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2018-09-20T21:47:06;Stove, Range-top burner;324;14;2018-09-20T22:57:49;43,66246733;-79,35136106;Other;Extinguished by fire department;Unattended;Halfway/Transitional House;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-09-20T21:25:47;2018-09-20T21:29:47
Cooking Area or Kitchen;No business interruption;0;1;200;1;2018-09-04T20:41:00;Confined to object of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-09-04T20:41:08;Stove, Range-top burner;231;24;2018-09-04T21:47:24;43,77954463;-79,2329791;Other;Extinguished by occupant;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2018-09-04T20:31:19;2018-09-04T20:36:21
Other Storage Area;Undetermined;1;1;500;0;2018-08-03T09:25:00;Undetermined;Undetermined;Fire alarm system operation undetermined;Fire alarm system present;2018-08-03T10:30:00;Chemical Reaction (eg. spontaneous combustion, etc.);333;14;2018-08-03T18:35:22;43,64688206;-79,3537354;Other chemicals, materials not classified above;Action taken unclassified;Improper handling of ignition source or ignited material;Sto: Chemicals, inc hazardous chemicals;Reason for inoperation undetermined;Type undetermined;Unclassified;2018-08-03T09:14:58;2018-08-03T09:22:10
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;2000;0;2018-09-30T22:27:32;Confined to object of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operated;Fire alarm system present;2018-09-30T22:34:16;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;131;15;2018-09-30T23:08:34;43,72541063;-79,40073161;Upholstered Sofa, Chair, etc.;Fire self extinguished;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2018-09-30T22:20:54;2018-09-30T22:24:11
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);1;1;500;1;2018-07-29T16:29:52;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-07-29T16:31:53;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;331;10;2018-07-29T17:31:34;43,64075831;-79,41146951;Bedding;Extinguished by automatic system;Unattended;Halfway/Transitional House;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-07-29T16:23:54;2018-07-29T16:27:41
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;500;0;2018-08-06T02:13:00;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-08-06T02:13:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;325;13;2018-08-06T06:04:38;43,66071283;-79,3720338;Upholstered Sofa, Chair, etc.;Extinguished by occupant;Other misuse of ignition source/material ignited;Multi-Unit Dwelling - 2 to 6 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Unclassified;2018-08-06T02:07:30;2018-08-06T02:12:11
Cooking Area or Kitchen;Not applicable (not a business);1;1;12000;4;2018-07-06T21:46:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2018-07-06T21:50:15;Stove, Range-top burner;141;7;2018-07-06T22:56:18;43,75217535;-79,49490842;Cooking Oil, Grease;Extinguished by fire department;Unattended;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2018-07-06T21:36:30;2018-07-06T21:42:13
Cooking Area or Kitchen;No business interruption;1;1;50000;1;2018-07-10T20:25:00;Spread beyond room of origin, same floor;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-07-10T20:33:00;Oven;322;14;2018-07-10T22:06:42;43,69009271;-79,34536866;Cabinetry;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2018-07-10T20:15:05;2018-07-10T20:17:58
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Undetermined;1;1;300000;4;2018-06-23T14:45:40;Spread beyond room of origin, same floor;Undetermined;Not applicable (no system);Undetermined;2018-06-23T14:55:30;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;315;11;2018-06-23T22:10:15;43,6543158;-79,39656565;Paper, Cardboard;Extinguished by fire department;Improperly Discarded;Attached Dwelling (eg. rowhouse, townhouse, etc.);Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2018-06-23T14:38:47;2018-06-23T14:42:58
Cooking Area or Kitchen;No business interruption;0;1;50;0;2018-05-16T14:38:52;Confined to object of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-05-16T14:38:52;Other;444;2;2018-05-16T15:44:15;43,63635457;-79,58027882;Undetermined (formerly 98);Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2018-05-16T14:17:10;2018-05-16T14:22:54
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;10000;1;2018-06-12T22:50:21;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2018-06-12T22:52:29;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;231;24;2018-06-13T14:31:01;43,76450158;-79,21172013;Paper, Cardboard;Extinguished by fire department;Improperly Discarded;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2018-06-12T22:40:21;2018-06-12T22:43:53
Cooking Area or Kitchen;Not applicable (not a business);1;1;30000;1;2018-04-25T16:15:52;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-25T16:15:52;Other Electrical Distribution Item;244;22;2018-04-25T18:10:58;43,77588873;-79,3204081;Cabinetry;Extinguished by automatic system;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2018-04-25T15:59:25;2018-04-25T16:04:03
Living Area (e.g. living, TV, recreation, etc);No business interruption;3;1;20000;2;2018-03-12T06:26:05;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-03-12T06:32:31;Undetermined;114;18;2018-03-12T15:22:42;43,7628871;-79,40846101;Undetermined (formerly 98);Extinguished by fire department;Unintentional, cause undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2018-03-12T06:12:54;2018-03-12T06:19:15
Living Area (e.g. living, TV, recreation, etc);No business interruption;0;1;10000;0;2018-04-05T05:00:20;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-05T05:01:11;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;313;13;2018-04-05T12:10:23;43,66709451;-79,37468392;Mattress, Pillow;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-04-05T04:48:22;2018-04-05T04:52:41
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;1;1;3000;1;2018-04-05T23:38:30;Confined to object of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-05T23:39:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;325;13;2018-04-06T00:20:43;43,6582947;-79,37103207;Bedding;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with no evidence from street;2018-04-05T23:31:46;2018-04-05T23:35:12
Living Area (e.g. living, TV, recreation, etc);Undetermined;1;1;200000;2;2018-06-17T11:13:00;Spread to entire room of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2018-06-17T11:17:44;Matches or Lighters (unable to distinguish);221;21;2018-06-17T19:57:46;43,74160883;-79,23261027;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Suspected Arson;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2018-06-17T10:59:25;2018-06-17T11:03:54
Cooking Area or Kitchen;No business interruption;1;1;20000;1;2018-04-12T17:36:04;Spread to entire room of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-12T18:13:30;Candle;313;13;2018-04-12T21:11:43;43,67093637;-79,3788754;Other Soft Goods, Wearing Apparel;Extinguished by fire department;Used or Placed too close to combustibles;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Battery operated;Fire with no evidence from street;2018-04-12T17:29:47;2018-04-12T17:32:37
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);1;1;25000;5;2018-04-18T03:56:12;Spread to entire room of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-04-18T03:56:12;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;323;14;2018-04-18T12:13:46;43,68227683;-79,33271605;Fabric - Natural (eg. cotton, wool, etc.);Fire self extinguished;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Unit failure;Hardwired (standalone);Fire with no evidence from street;2018-04-18T03:34:54;2018-04-18T03:38:54
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;1000;1;2018-04-22T02:21:32;Confined to object of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system did not operate;Fire alarm system present;2018-04-22T02:31:45;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;423;4;2018-04-22T03:05:17;43,65722765;-79,4668502;Other Furniture;Extinguished by fire department;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2018-04-22T02:08:59;2018-04-22T02:13:58
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);1;1;50000;1;2018-01-10T07:22:36;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-01-10T07:26:53;Undetermined;341;9;2018-01-10T16:09:08;43,69039716;-79,46250619;Other Soft Goods, Wearing Apparel;Extinguished by fire department;Suspected Arson;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2018-01-10T07:12:00;2018-01-10T07:18:17
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Not applicable (not a business);1;1;1000;0;2013-09-06T02:44:00;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Fire alarm system operation undetermined;Fire alarm system present;2013-09-06T02:44:47;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;413;1;2013-09-06T03:36:29;43,73635;-79,58105;Mattress, Pillow;Extinguished by fire department;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - 7 to 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2013-09-06T02:32:41;2013-09-06T02:37:30
Cooking Area or Kitchen;Not applicable (not a business);0;1;3000;0;2014-11-08T00:42:00;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2014-11-08T00:48:00;Stove, Range-top burner;421;12;2014-11-08T01:13:37;43,69643;-79,49016;Cooking Oil, Grease;Extinguished by occupant;Unintentional, cause undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire extinguished prior to arrival;2014-11-08T00:35:38;2014-11-08T00:41:41
Cooking Area or Kitchen;Not applicable (not a business);1;1;250;0;2015-12-29T22:26:00;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-12-29T22:27:00;Stove, Range-top burner;442;11;2015-12-29T23:47:13;43,70974;-79,50778;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - 7 to 12 Units;Tampered with (vandalism);Battery operated;Fire with no evidence from street;2015-12-29T22:17:13;2015-12-29T22:23:29
